label,unit-type,position,period,phase,url
1284,deposit,other,1,,
1286,deposit,other,1,,
1287+,deposit,other,1,,
1288a+,deposit,other,1,,
1288b+,deposit,other,1,,
1289,deposit,other,1,,
1289.X1+X2,deposit,other,1,,
1291,deposit,other,1,,
1291.X4-5,deposit,other,1,,
1292,deposit,other,1,,
1294+,deposit,other,1,,
1295a+,deposit,other,1,,
1295b+,deposit,other,1,,
1296+,deposit,other,1,,
1298,deposit,other,1,,
1300+,deposit,other,1,,
1302,deposit,other,1,,
1303,deposit,other,1,,
1305,deposit,other,1,,
1309+,deposit,other,1,,
1314,deposit,other,1,,
1316,deposit,other,1,,
1317,deposit,other,1,,
1318+,deposit,other,1,,
1322,deposit,other,1,,
1326+,interface,other,1,,
1327a,deposit,other,1,,
1327b,deposit,other,1,,
1328,deposit,other,1,,
1329+,deposit,other,1,,
1330,interface,other,1,,
1332+,deposit,other,1,,
1334,deposit,other,1,,
1338,deposit,other,1,,
1343+,deposit,other,1,,
1348,deposit,other,1,,
1349,deposit,other,1,,
1353+,deposit,other,1,,
1355d,deposit,other,1,,
1357,deposit,other,1,,
1359,deposit,other,1,,
1360a,deposit,other,1,,
1360b,deposit,other,1,,
1360c,deposit,other,1,,
1362,deposit,other,1,,
1363,deposit,other,1,,
1364,deposit,other,1,,
1365+,deposit,other,1,,
1366+,deposit,other,1,,
1367,deposit,other,1,,
1368,deposit,other,1,,
1369,interface,other,1,,
1370+,deposit,other,1,,
1371+,deposit,other,1,,
1372+,deposit,other,1,,
1373+,deposit,other,1,,
1375,deposit,other,1,,
1377,deposit,other,1,,
1378,deposit,other,1,,
1379,interface,other,1,,
1380,deposit,other,1,,
1380+,deposit,other,1,,
1382,deposit,other,1,,
1385+,deposit,other,1,,
1387a+,deposit,other,1,,
1387b+,deposit,other,1,,
1389.X1,deposit,other,1,,
1389a,deposit,other,1,,
1389b+,deposit,other,1,,
1390,deposit,other,1,,
1391,deposit,other,1,,
1392,deposit,other,1,,
1393.X1,deposit,other,1,,
1393a,deposit,other,1,,
1398a,deposit,other,1,,
1399,interface,other,1,,
1401a,deposit,other,1,,
1401b,deposit,other,1,,
1402+,interface,other,1,,
1404,deposit,other,1,,
1406,interface,other,1,,
1408,deposit,other,1,,
1409a,deposit,other,1,,
1409b,deposit,other,1,,
1410a+,deposit,other,1,,
1410b+,deposit,other,1,,
1410c+,deposit,other,1,,
1411+,deposit,other,1,,
1412,deposit,other,1,,
1413,deposit,other,1,,
1414,interface,other,1,,
1415,deposit,other,1,,
1417+,deposit,other,1,,
1419,interface,other,1,,
1420,deposit,other,1,,
1421,interface,other,1,,
1422a+,deposit,other,1,,
1422b,deposit,other,1,,
1423,deposit,other,1,,
1424,deposit,other,1,,
1425,deposit,other,1,,
1426,deposit,other,1,,
1428,deposit,other,1,,
1429a,deposit,other,1,,
1429b,deposit,other,1,,
1430,deposit,other,1,,
1431a+,deposit,other,1,,
1431b+,deposit,other,1,,
1432+,deposit,other,1,,
1434+,deposit,other,1,,
1435,interface,other,1,,
1438,deposit,other,1,,
1439a,deposit,other,1,,
1439b,deposit,other,1,,
1439c,deposit,other,1,,
1439d,deposit,other,1,,
1440a,deposit,other,1,,
1440b,deposit,other,1,,
1441a+,deposit,other,1,,
1441b+,deposit,other,1,,
1442,deposit,other,1,,
1445,deposit,other,1,,
1446,deposit,other,1,,
1447,interface,other,1,,
1448,deposit,other,1,,
1450,deposit,other,1,,
1452,deposit,other,1,,
1453,interface,other,1,,
1454,deposit,other,1,,
1456,deposit,other,1,,
1458,deposit,other,1,,
1459+,deposit,other,1,,
1460,interface,other,1,,
1461,deposit,other,1,,
1462,interface,other,1,,
1463,interface,other,1,,
1464,deposit,other,1,,
1465,deposit,other,1,,
1466,deposit,other,1,,
1467,deposit,other,1,,
1469+,deposit,other,1,,
1470+,deposit,other,1,,
1471,deposit,other,1,,
1472,deposit,other,1,,
1473c,deposit,other,1,,
1474+,deposit,other,1,,
1477,deposit,other,1,,
1479,deposit,other,1,,
1480,interface,other,1,,
1481,deposit,other,1,,
1482,deposit,other,1,,
1483,deposit,other,1,,
1486,deposit,other,1,,
1487+,deposit,other,1,,
1488a,deposit,other,1,,
1488b,deposit,other,1,,
1489,deposit,other,1,,
1491,deposit,other,1,,
1493+,deposit,other,1,,
1494,deposit,other,1,,
1495,deposit,other,1,,
1498,deposit,other,1,,
1900,deposit,other,1,,
1901,interface,other,1,,
1902,interface,other,1,,
1903,deposit,other,1,,
1904,interface,other,1,,
1905,deposit,other,1,,
1906,interface,other,1,,
1907,deposit,other,1,,
1909+,deposit,other,1,,
1910,deposit,other,1,,
1911,interface,other,1,,
1912,deposit,other,1,,
1913,deposit,other,1,,
1914b,deposit,other,1,,
1915,deposit,other,1,,
1916,deposit,other,1,,
1917a+,deposit,other,1,,
1917b+,deposit,other,1,,
1918a,deposit,other,1,,
1918b,deposit,other,1,,
1919a,deposit,other,1,,
1919b,deposit,other,1,,
1921,deposit,other,1,,
1922+,deposit,other,1,,
1923+,deposit,other,1,,
1924,deposit,other,1,,
1925+,deposit,other,1,,
1927+,interface,other,1,,
1928,deposit,other,1,,
1929,deposit,other,1,,
1930+,deposit,other,1,,
1931,deposit,other,1,,
1932+,deposit,other,1,,
1933+,deposit,other,1,,
1934,deposit,other,1,,
1935,deposit,other,1,,
1936+,interface,other,1,,
1937,deposit,other,1,,
1940+,deposit,other,1,,
1941,interface,other,1,,
1942+,interface,other,1,,
1944,interface,other,1,,
1945+,interface,other,1,,
1946,interface,other,1,,
1947,interface,other,1,,
1948+,interface,other,1,,
1949a,deposit,other,1,,
1949aa,deposit,other,1,,
1950,deposit,other,1,,
1951+,deposit,other,1,,
1952+,deposit,other,1,,
1955a,deposit,other,1,,
1955b,deposit,other,1,,
1956+,deposit,other,1,,
1961+,deposit,other,1,,
1963,deposit,other,1,,
1964,deposit,other,1,,
1965,deposit,other,1,,
1967,deposit,other,1,,
1968,deposit,other,1,,
1975,deposit,other,1,,
1977,interface,other,1,,
1978,deposit,other,1,,
1980,deposit,other,1,,
1982,deposit,other,1,,
1985,deposit,other,1,,
1988,interface,other,1,,
1989,deposit,other,1,,
1990a+,deposit,other,1,,
1990b+,deposit,other,1,,
1990c+,deposit,other,1,,
1990d+,deposit,other,1,,
1992,deposit,other,1,,
1993,deposit,other,1,,
1995,deposit,other,1,,
1996,deposit,other,1,,
1997,deposit,other,1,,
1998a+,deposit,other,1,,
1998b+,deposit,other,1,,
1998c+,deposit,other,1,,
1999a,deposit,other,1,,
1999b,deposit,other,1,,
2102,deposit,other,1,,
2103,deposit,other,1,,
2104,interface,other,1,,
2105,deposit,other,1,,
2106,deposit,other,1,,
2108,deposit,other,1,,
2110,interface,other,1,,
2114,deposit,other,1,,
2115,deposit,other,1,,
2116,interface,other,1,,
2117,interface,other,1,,
2118,deposit,other,1,,
2119,deposit,other,1,,
2121,deposit,other,1,,
2124,deposit,other,1,,
2125,deposit,other,1,,
2126,deposit,other,1,,
2128+,deposit,other,1,,
2130a,deposit,other,1,,
2130b,deposit,other,1,,
2131a,deposit,other,1,,
2131b,deposit,other,1,,
2131c,deposit,other,1,,
2132a+,deposit,other,1,,
2132b+,deposit,other,1,,
2134,deposit,other,1,,
2135,deposit,other,1,,
2136,interface,other,1,,
2137a,deposit,other,1,,
2137b,deposit,other,1,,
2138a,deposit,other,1,,
2138b,deposit,other,1,,
2139,deposit,other,1,,
2140a,deposit,other,1,,
2140b,deposit,other,1,,
2141,deposit,other,1,,
2142,deposit,other,1,,
2144,deposit,other,1,,
2145a+,deposit,other,1,,
2145b+,deposit,other,1,,
2145c+,deposit,other,1,,
2145d,deposit,other,1,,
2146+,deposit,other,1,,
2149+,deposit,other,1,,
2150+,deposit,other,1,,
2152,interface,other,1,,
2155,deposit,other,1,,
2157,deposit,other,1,,
2158,deposit,other,1,,
2159,deposit,other,1,,
2162+,deposit,other,1,,
2164a,deposit,other,1,,
2165+,deposit,other,1,,
2168,deposit,other,1,,
2169,deposit,other,1,,
2172a,deposit,other,1,,
2173,deposit,other,1,,
2174+,deposit,other,1,,
2175,deposit,other,1,,
2176,interface,other,1,,
2177,deposit,other,1,,
2178,deposit,other,1,,
2179,interface,other,1,,
2190,interface,other,1,,
2191,interface,other,1,,
2192,deposit,other,1,,
2193a,deposit,other,1,,
2193b,deposit,other,1,,
2194,deposit,other,1,,
2195,deposit,other,1,,
2197,deposit,other,1,,
2199,deposit,other,1,,
2501,interface,other,1,,
2502+,deposit,other,1,,
2504,deposit,other,1,,
2506,deposit,other,1,,
2507,interface,other,1,,
2509,deposit,other,1,,
2510,deposit,other,1,,
2511,interface,other,1,,
2513,deposit,other,1,,
2514,deposit,other,1,,
2515,deposit,other,1,,
2520,deposit,other,1,,
2521,deposit,other,1,,
2527,deposit,other,1,,
2528,deposit,other,1,,
2529,deposit,other,1,,
2530,interface,other,1,,
2532,deposit,other,1,,
2536,interface,other,1,,
2540,interface,other,1,,
2550,interface,other,1,,
2558,deposit,other,1,,
2560,deposit,other,1,,
2577+,deposit,other,1,,
2586+,deposit,other,1,,
2589+,deposit,other,1,,
2593,deposit,other,1,,
3000+,deposit,other,1,,
3003,deposit,other,1,,
3004,deposit,other,1,,
3005,deposit,other,1,,
3006,deposit,other,1,,
3040,interface,other,1,,
3041,deposit,other,1,,
3094+,deposit,other,1,,
3095,deposit,other,1,,
3096,deposit,other,1,,
3097,deposit,other,1,,
3220,deposit,other,1,,
3871,interface,other,1,,
4029,interface,other,1,,
4030,deposit,other,1,,
4031,deposit,other,1,,
4032a,deposit,other,1,,
4032b,deposit,other,1,,
4033,deposit,other,1,,
4034,deposit,other,1,,
4035,interface,other,1,,
4036,interface,other,1,,
4038,interface,other,1,,
4039,interface,other,1,,
4041,deposit,other,1,,
4042,interface,other,1,,
4043,interface,other,1,,
4044,interface,other,1,,
4045,interface,other,1,,
4046,interface,other,1,,
4047,interface,other,1,,
4048,interface,other,1,,
X-Finds-from-1192+,deposit,other,1,,
2534,deposit,other,3,,
2561+,deposit,other,3,,
2562+,deposit,other,3,,
3049+,deposit,other,3,,
3050+,deposit,other,3,,
3060,deposit,other,3,,
3064,deposit,other,3,,
3065,deposit,other,3,,
3066,deposit,other,3,,
3068+,deposit,other,3,,
3069,deposit,other,3,,
3070,interface,other,3,,
3071,deposit,other,3,,
3072,interface,other,3,,
3075,deposit,other,3,,
3076,deposit,other,3,,
3080+,deposit,other,3,,
3087+,deposit,other,3,,
3098+,deposit,other,3,,
3203+,deposit,other,3,,
3208,deposit,other,3,,
3209,deposit,other,3,,
3210,deposit,other,3,,
3211+,deposit,other,3,,
3217,deposit,other,3,,
3222,deposit,other,3,,
3223+,deposit,other,3,,
3224+,deposit,other,3,,
3227+,deposit,other,3,,
3228+,deposit,other,3,,
3229,deposit,other,3,,
3230+,deposit,other,3,,
3239+,deposit,other,3,,
3241+,deposit,other,3,,
3244,deposit,other,3,,
3245,deposit,other,3,,
3246,deposit,other,3,,
3247,deposit,other,3,,
3248,deposit,other,3,,
3249,deposit,other,3,,
3250,deposit,other,3,,
3251,deposit,other,3,,
3253,deposit,other,3,,
3254,deposit,other,3,,
3255+,deposit,other,3,,
3257+,deposit,other,3,,
3261.X1,deposit,other,3,,
3266,deposit,other,3,,
3268,deposit,other,3,,
3274,deposit,other,3,,
3275,deposit,other,3,,
3276+,deposit,other,3,,
3280,deposit,other,3,,
3281,deposit,other,3,,
3282,interface,other,3,,
3284,deposit,other,3,,
3285.X1,deposit,other,3,,
3287,deposit,other,3,,
3288,deposit,other,3,,
3289,interface,other,3,,
3290,interface,other,3,,
3291,interface,other,3,,
3292,deposit,other,3,,
3293,deposit,other,3,,
3294,deposit,other,3,,
3295,deposit,other,3,,
3296,deposit,other,3,,
3297,deposit,other,3,,
3298,deposit,other,3,,
3299,deposit,other,3,,
3800,deposit,other,3,,
3801+,deposit,other,3,,
3802,deposit,other,3,,
3803,deposit,other,3,,
3804,deposit,other,3,,
3805,deposit,other,3,,
3806,interface,other,3,,
3808.X1,deposit,other,3,,
3810+,deposit,other,3,,
3810.X8-X10,deposit,other,3,,
3813,deposit,other,3,,
3814,deposit,other,3,,
3815,deposit,other,3,,
3816+,deposit,other,3,,
3819.X1+X2,deposit,other,3,,
3821,deposit,other,3,,
3822+,deposit,other,3,,
3824,deposit,other,3,,
3825,deposit,other,3,,
3826,deposit,other,3,,
3827,deposit,other,3,,
3828,deposit,other,3,,
3829,deposit,other,3,,
3832,deposit,other,3,,
3833,deposit,other,3,,
3834,deposit,other,3,,
3835,deposit,other,3,,
3836,deposit,other,3,,
3837,deposit,other,3,,
3838,deposit,other,3,,
3839,deposit,other,3,,
3841,deposit,other,3,,
3842.X1+X2,deposit,other,3,,
3843,deposit,other,3,,
3844,deposit,other,3,,
3845,deposit,other,3,,
3846,deposit,other,3,,
3847,deposit,other,3,,
3848,deposit,other,3,,
3849,deposit,other,3,,
3851,deposit,other,3,,
3852,deposit,other,3,,
3853,deposit,other,3,,
3854,deposit,other,3,,
3855,deposit,other,3,,
3857,deposit,other,3,,
3858+,deposit,other,3,,
3859,deposit,other,3,,
3861,deposit,other,3,,
3862,deposit,other,3,,
3863+,deposit,other,3,,
3864,deposit,other,3,,
3865,deposit,other,3,,
3866,deposit,other,3,,
3867,interface,other,3,,
3868,deposit,other,3,,
3869,deposit,other,3,,
3870,deposit,other,3,,
3872,deposit,other,3,,
3873,deposit,other,3,,
3874,deposit,other,3,,
3875,deposit,other,3,,
3876,deposit,other,3,,
3877,deposit,other,3,,
3878,deposit,other,3,,
3879,deposit,other,3,,
3884,deposit,other,3,,
3885,deposit,other,3,,
3886,deposit,other,3,,
3887,deposit,other,3,,
3888,deposit,other,3,,
3889,deposit,other,3,,
3890,deposit,other,3,,
3891,deposit,other,3,,
3892,deposit,other,3,,
3893,deposit,other,3,,
3894,deposit,other,3,,
3895,deposit,other,3,,
3896,deposit,other,3,,
3897,interface,other,3,,
3898,deposit,other,3,,
3899,deposit,other,3,,
4000,deposit,other,3,,
4001,deposit,other,3,,
4002,deposit,other,3,,
4003,deposit,other,3,,
4004,deposit,other,3,,
4005,deposit,other,3,,
4006,deposit,other,3,,
4007,deposit,other,3,,
4008,deposit,other,3,,
4009,deposit,other,3,,
4010,deposit,other,3,,
4011,deposit,other,3,,
4012,deposit,other,3,,
4013,deposit,other,3,,
4014,deposit,other,3,,
4014.X1,deposit,other,3,,
4015,deposit,other,3,,
4016,deposit,other,3,,
4017,deposit,other,3,,
4018,deposit,other,3,,
4019,deposit,other,3,,
4020,deposit,other,3,,
4021,deposit,other,3,,
4022,deposit,other,3,,
4023,deposit,other,3,,
4024,interface,other,3,,
4025,deposit,basal,3,,
4026,deposit,other,3,,
4027,deposit,other,3,,
4028,deposit,other,3,,
